gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,gind
001004,20160531,2015,INDL,C,D,STD,AIR,AAR CORP,USD,A,201010
001045,20161231,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,A,203020
001050,20161231,2016,INDL,C,D,STD,CECO,CECO ENVIRONMENTAL CORP,USD,A,202010
001075,20161231,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,A,551010
001076,20161231,2016,INDL,C,D,STD,PRG,PROG HOLDINGS INC,USD,A,402020
001078,20161231,2016,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,A,351010
001161,20161231,2016,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,A,453010
001209,20160930,2016,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,A,151010
001230,20161231,2016,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,A,203020
001234,20161231,2016,INDL,C,D,STD,ATRI,ATRION CORP,USD,A,351010
001254,20161231,2016,INDL,C,D,STD,MATX,MATSON INC,USD,A,203030
001257,20161231,2016,FS,C,D,STD,ALX,ALEXANDER'S INC,USD,A,601010
001257,20161231,2016,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,A,601010
001266,20160930,2016,INDL,C,D,STD,ALCO,ALICO INC,USD,A,302020
001274,20161231,2016,FS,C,D,STD,Y,ALLEGHANY CORP,USD,I,403010
001274,20161231,2016,INDL,C,D,STD,Y,ALLEGHANY CORP,USD,I,403010
001300,20161231,2016,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,A,201050
001327,20160930,2016,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,A,453010
001380,20161231,2016,INDL,C,D,STD,HES,HESS CORP,USD,A,101020
001393,20160331,2015,INDL,C,D,STD,UHAL,U-HAUL HOLDING CO,USD,A,203040
001410,20161031,2016,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,A,202010
001414,20161231,2016,FS,C,D,STD,PRI,PRIMERICA INC,USD,A,403010
001414,20161231,2016,INDL,C,D,STD,PRI,PRIMERICA INC,USD,A,403010
001440,20161231,2016,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,A,551010
001447,20161231,2016,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,A,402020
001447,20161231,2016,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,A,402020
001449,20161231,2016,FS,C,D,STD,AFL,AFLAC INC,USD,A,403010
001449,20161231,2016,INDL,C,D,STD,AFL,AFLAC INC,USD,A,403010
001487,20161231,2016,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,A,403010
001487,20161231,2016,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,A,403010
001585,20161231,2016,INDL,C,D,STD,AVD,AMERICAN VANGUARD CORP,USD,A,151010
001598,20161231,2016,INDL,C,D,STD,AME,AMETEK INC,USD,A,201040
001602,20161231,2016,INDL,C,D,STD,AMGN,AMGEN INC,USD,A,352010
001613,20161231,2016,INDL,C,D,STD,AP,AMPCO-PITTSBURGH CORP,USD,A,151040
001632,20161031,2016,INDL,C,D,STD,ADI,ANALOG DEVICES INC,USD,A,453010
001659,20161231,2016,INDL,C,D,STD,ANDE,ANDERSONS INC,USD,A,301010
001678,20161231,2016,INDL,C,D,STD,APA,APA CORP,USD,A,101020
001686,20160229,2015,INDL,C,D,STD,APOG,APOGEE ENTERPRISES INC,USD,A,201020
001690,20160930,2016,INDL,C,D,STD,AAPL,APPLE INC,USD,A,452020
001704,20161031,2016,INDL,C,D,STD,AMAT,APPLIED MATERIALS INC,USD,A,453010
001706,20160831,2016,INDL,C,D,STD,EPAC,ENERPAC TOOL GROUP CORP,USD,A,201060
001722,20161231,2016,INDL,C,D,STD,ADM,ARCHER-DANIELS-MIDLAND CO,USD,A,302020
001743,20161231,2016,INDL,C,D,STD,ARCB,ARCBEST CORP,USD,A,203040
001773,20161231,2016,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,A,452030
001794,20160930,2016,INDL,C,D,STD,ASH,ASHLAND INC,USD,A,151010
001820,20160131,2015,INDL,C,D,STD,ALOT,ASTRONOVA INC,USD,A,452020
001823,20161231,2016,INDL,C,D,STD,ATRO,ASTRONICS CORP,USD,A,201010
001864,20160131,2015,INDL,C,D,STD,REX,REX AMERICAN RESOURCES CORP,USD,A,101020
001878,20160131,2015,INDL,C,D,STD,ADSK,AUTODESK INC,USD,A,451030
001891,20160630,2016,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,A,451020
001913,20161231,2016,INDL,C,D,STD,AVY,AVERY DENNISON CORP,USD,A,151030
001919,20160630,2016,INDL,C,D,STD,AVT,AVNET INC,USD,A,452030
001926,20160229,2015,INDL,C,D,STD,AZZ,AZZ INC,USD,A,201020
001949,20160930,2016,FS,C,D,STD,BRT,BRT APARTMENTS CORP,USD,A,601010
001949,20160930,2016,INDL,C,D,STD,BRT,BRT APARTMENTS CORP,USD,A,601010
001968,20161231,2016,INDL,C,D,STD,BMI,BADGER METER INC,USD,A,452030
001979,20161231,2016,INDL,C,D,STD,BCPC,BALCHEM CORP  -CL B,USD,A,151010
001988,20161231,2016,INDL,C,D,STD,BALL,BALL CORP,USD,A,151030
002005,20161231,2016,FS,C,D,STD,BOH,BANK OF HAWAII CORP,USD,A,401010
002005,20161231,2016,INDL,C,D,STD,BOH,BANK OF HAWAII CORP,USD,A,401010
002019,20161231,2016,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,402030
002019,20161231,2016,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,A,402030
002049,20161231,2016,INDL,C,D,STD,B,BARNES GROUP INC,USD,A,201060
002080,20161130,2016,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,A,252010
002086,20161231,2016,INDL,C,D,STD,BAX,BAXTER INTERNATIONAL INC,USD,A,351010
002101,20160630,2016,INDL,C,D,STD,AIT,APPLIED INDUSTRIAL TECH INC,USD,A,201070
002111,20160930,2016,INDL,C,D,STD,BDX,BECTON DICKINSON & CO,USD,A,351010
002136,20161231,2016,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,A,501010
002184,20160131,2015,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,A,255040
002220,20161231,2016,INDL,C,D,STD,BIO,BIO-RAD LABORATORIES INC,USD,A,352030
002259,20161231,2016,INDL,C,D,STD,BKH,BLACK HILLS CORP,USD,A,551030
002269,20160430,2015,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,A,253020
002285,20161231,2016,INDL,C,D,STD,BA,BOEING CO,USD,A,201010
002312,20161231,2016,INDL,C,D,STD,RHI,ROBERT HALF INTL INC,USD,A,202020
002352,20160731,2016,INDL,C,D,STD,BRC,BRADY CORP,USD,A,202010
002403,20161231,2016,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,A,352020
002435,20160430,2015,INDL,C,D,STD,BF.B,BROWN FORMAN CORP,USD,A,302010
002436,20160131,2015,INDL,C,D,STD,CAL,CALERES INC,USD,A,255040
002444,20161231,2016,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,A,252020
002448,20161231,2016,INDL,C,D,STD,MTRN,MATERION CORP,USD,A,151040
002497,20161231,2016,INDL,C,D,STD,MTZ,MASTEC INC,USD,A,201030
002504,20161231,2016,INDL,C,D,STD,UIS,UNISYS CORP,USD,A,451020
002536,20160331,2015,INDL,C,D,STD,RAMP,LIVERAMP HOLDINGS INC,USD,A,451030
002547,20161231,2016,FS,C,D,STD,CI,CIGNA CORP,USD,A,351020
002547,20161231,2016,INDL,C,D,STD,CI,CIGNA CORP,USD,A,351020
002558,20161231,2016,FS,C,D,STD,CNA,CNA FINANCIAL CORP,USD,A,403010
002558,20161231,2016,INDL,C,D,STD,CNA,CNA FINANCIAL CORP,USD,A,403010
002574,20161231,2016,INDL,C,D,STD,CSX,CSX CORP,USD,A,203040
002577,20161231,2016,INDL,C,D,STD,CTS,CTS CORP,USD,A,452030
002578,20161231,2016,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,A,451030
002593,20160930,2016,INDL,C,D,STD,CBT,CABOT CORP,USD,A,151010
002596,20160630,2016,INDL,C,D,STD,CACI,CACI INTL INC  -CL A,USD,A,202020
002615,20160229,2015,INDL,C,D,STD,CAMP,CALAMP CORP,USD,A,452010
002628,20161231,2016,INDL,C,D,STD,CWT,CALIFORNIA WATER SERVICE GP,USD,A,551040
002663,20160731,2016,INDL,C,D,STD,CPB,CAMPBELL SOUP CO,USD,A,302020
002710,20160229,2015,INDL,C,D,STD,STZ,CONSTELLATION BRANDS,USD,A,302010
002751,20160630,2016,INDL,C,D,STD,CAH,CARDINAL HEALTH INC,USD,A,351020
002771,20161231,2016,INDL,C,D,STD,CSL,CARLISLE COS INC,USD,A,201020
002787,20160630,2016,INDL,C,D,STD,CRS,CARPENTER TECHNOLOGY CORP,USD,A,151040
002807,20160430,2015,INDL,C,D,STD,CASY,CASEYS GENERAL STORES INC,USD,A,301010
002817,20161231,2016,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,A,201060
002818,20160131,2015,INDL,C,D,STD,CATO,CATO CORP  -CL A,USD,A,255040
002820,20160331,2015,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,A,252010
002884,20161231,2016,INDL,C,D,STD,LUMN,LUMEN TECHNOLOGIES INC,USD,A,501010
002960,20161231,2016,INDL,C,D,STD,CHE,CHEMED CORP,USD,A,351020
002968,20161231,2016,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,401010
002968,20161231,2016,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,A,401010
002986,20161231,2016,INDL,C,D,STD,CPK,CHESAPEAKE UTILITIES CORP,USD,A,551020
002991,20161231,2016,INDL,C,D,STD,CVX,CHEVRON CORP,USD,A,101020
003007,20160630,2016,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,A,253010
003026,20161231,2016,INDL,C,D,STD,CHD,CHURCH & DWIGHT INC,USD,A,303010
003028,20161231,2016,INDL,C,D,STD,CHDN,CHURCHILL DOWNS INC,USD,A,253010
003062,20160531,2015,INDL,C,D,STD,CTAS,CINTAS CORP,USD,A,202010
003107,20161231,2016,INDL,C,D,STD,CLF,CLEVELAND-CLIFFS INC,USD,A,151040
003121,20160630,2016,INDL,C,D,STD,CLX,CLOROX CO/DE,USD,A,303010
003138,20161231,2016,INDL,C,D,STD,COKE,COCA COLA CONSOLIDATED INC,USD,A,302010
003144,20161231,2016,INDL,C,D,STD,KO,COCA-COLA CO,USD,A,302010
003153,20161231,2016,INDL,C,D,STD,CDE,COEUR MINING INC,USD,A,151040
