code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
502,2016,A,,ARP6558L1095,,
504,2016,A,,ARP6558L1251,,
655,2016,A,,,,
661,2016,A,CCP,AU000000CCP3,564349900,2.63594
675,2016,A,BLD,AU000000BLD2,4625191375.7,1.31911
680,2016,A,ALK,AU000000ALK9,95231897.905,0.5004
682,2016,A,APG,AU000000APG8,5938643.904,0.16779
684,2016,A,MOD,AU000000MOD3,60387657.381,3.28435
696,2016,A,RDN,AU0000001661,,
706,2016,A,CLF,AU0000007320,63616115.85,0.93203
730,2016,A,WBA,AU000000WBA5,391080856.75,0.93817
734,2016,A,PCG,AU000000PCG4,95179276.5,3.30885
742,2016,A,AMH,AU000000AMH3,244512000,1.10492
758,2016,A,LVT,AU000000LVT6,81352300.065,8.89165
759,2016,A,APA,AU000000APA1,10296202377,2.55549
766,2016,A,WAL,AU000000WAL4,554776.6,0.26781
770,2016,A,ABC,AU000000ABC7,3527621757.6,2.89719
796,2016,A,ARI,AU000000ARI0,,
801,2016,A,CMP,AU000000CMP2,61622809.11,4.22209
847,2016,A,CIM,AU000000CIM7,11329438149,3.41022
863,2016,A,BOC,PG0008526520,80212500,1.65412
891,2016,A,ALL,AU000000ALL7,10072861339,9.36573
905,2016,A,TEN,AU000000TEN8,478803949.08,1.2529
930,2016,A,CAG,AU000000CAG6,,
937,2016,A,AJX,AU000000AJX6,209115752.81,18.55779
957,2016,A,ASB,AU000000ASB3,416697271.1,0.91071
994,2016,A,HPP,AU0000129710,14960291.132,0.37282
1001,2016,A,CRM,AU000000CRM8,1692314.82,0.30944
1019,2016,A,ECL,AU0000037889,31193107.43,0.61987
1020,2016,A,COF,AU000000COF9,,
1037,2016,A,CLX,AU000000CLX8,50023932.55,0.62239
1048,2016,A,AVH,AU000000AVH4,49013245.201,7.15397
1055,2016,A,EQT,AU000000EQT1,328125345.68,1.36291
1061,2016,A,FLT,AU000000FLT9,3187291523.2,2.36807
1069,2016,A,EYE,AU0000094252,109010286.64,2.25896
1072,2016,A,GME,AU000000GME7,14773029.849,0.51654
1092,2016,A,HLX,AU000000HLX7,21591210.267,1.76234
1093,2016,A,HIG,PG0009067821,51955516.816,-5.97652
1105,2016,A,IDT,AU000000IDT0,49354942.05,1.13786
1122,2016,A,LEG,AU000000LEG9,20343508.01,1.38122
1134,2016,A,ALG,AU0000027484,870514478.08,1.4041
1137,2016,A,EMR,AU000000EMR4,61411490.056,3.2571
1153,2016,A,MRC,AU000000MRC8,52642814.354,1.05637
1163,2016,A,MSI,AU000000MSI3,673823.544,0.26643
1211,2016,A,PRO,AU000000PRO6,73291202.68,4.1445
1212,2016,A,ALU,AU000000ALU8,841194151.98,4.79243
1249,2016,A,BCC,AU0000031395,9929893.96,1.28772
1273,2016,A,MED,AU000000MED4,6767662.4522,0.99364
1303,2016,A,FND,AU0000241036,62522145.09,5.41401
1308,2016,A,PRG,AU000000PRG2,368980280,0.60929
1383,2016,A,HIL,AU000000HIL8,56836570,0.82281
1417,2016,A,SOL,AU000000SOL3,4172660427.6,1.37286
1450,2016,A,ALT,AU000000ALT0,10829276.83,8.33333
1452,2016,A,ATI,AU000000ATI6,,
1454,2016,A,SCU,AU000000SCU9,,
1479,2016,A,CLH,AU000000CLH1,147938089.2,0.82049
1515,2016,A,ARC,AU000000ARC3,5143165.0624,1.13379
1534,2016,A,WOW,AU000000WOW2,26380792497,3.11439
1539,2016,A,AMP,AU000000AMP6,14788360445,1.98183
1558,2016,A,ORI,AU000000ORI1,5698928491.2,2.04813
1600,2016,A,RFL,AU000000RFL3,43106572.3,0.73697
1615,2016,A,RSH,AU000000RSH4,15565796.064,3.85852
1665,2016,A,CSL,AU000000CSL8,51222369238,14.86793
1682,2016,A,CCL,AU000000CCL2,7727533319.9,3.7436
