tcprimarysectorid,year,GHG_Scope1,GHG_Scope1_Intensity,GHG_Scope2,GHG_Scope2_Intensity,Absolute_Direct_Indirect,Revenue,GHG_Scope1_Disclosure,GHG_Scope2_Disclosure,ticker,Company.Name
52A000,2019,1240.58618,0.6724120869,4843.163722,2.625050866,5.036782687,1844.979,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2018,1195.62457,0.7341835811,4599.233854,2.824199224,4.580713242,1628.509,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2017,1250.611243,0.8124249642,4340.914748,2.819955064,4.31060636,1539.356,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2016,1291.790409,0.8910859761,3931.836128,2.712207809,3.84434797,1449.681,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2015,1406.065164,1.03773978,3539.773907,2.724644269,3.365948755,1380.560059,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2014,1339.545599,1.018474463,3517.052455,2.564012978,3.217637614,1290.829961,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2012,1222.908773,0.8783560716,2896.664516,2.080533659,3.453820833,1392.269961,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2013,1117.725542,0.8670991914,2759.647419,2.14085476,3.145181789,1289.04,Estimated data,Estimated data,BOKF,BOK Financial Corporation
52A000,2016,106.9888782,1.076206112,105.0525504,1.0567285,0.2364667672,99.413,Estimated data,Estimated data,AROW,Arrow Financial Corporation
52A000,2017,99.86870671,0.9444385186,120.951368,1.143813058,0.2675642994,105.744,Estimated data,Estimated data,AROW,Arrow Financial Corporation
52A000,2018,96.84789289,0.8573113643,127.3143194,1.127004518,0.2878060694,112.967,Estimated data,Estimated data,AROW,Arrow Financial Corporation
52A000,2019,92.31640785,0.7917087565,119.3332013,1.023405726,0.2870276943,116.604,Estimated data,Estimated data,AROW,Arrow Financial Corporation
52A000,2019,963.1121189,0.7917087565,1244.971019,1.023405726,2.994482316,1216.498,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2018,1061.55208,0.8573113643,1395.495313,1.127004518,3.154649239,1238.234,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2017,1015.407407,0.9444385186,1229.763746,1.143813058,2.720439468,1075.144,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2016,1140.946384,1.076206112,1120.297077,1.0567285,2.521719149,1060.156016,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2013,985.5905438,1.043769858,890.6962544,0.9432739681,2.090391294,958.64,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2012,983.3564587,1.02811331,888.6772708,0.9291248585,2.085652905,942.12,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2014,1259.569939,1.263710146,1058.164483,1.03623358,2.132725222,971.29,Estimated data,Estimated data,ASB,Associated Banc-Corp
52A000,2015,1269.633195,1.296801099,1041.090439,1.089442374,2.164454277,1004.687031,Estimated data,Estimated data,ASB,Associated Banc-Corp
