Area,2000Pop,2005Pop,2010Pop,fips
Alabama,4447207,4569805,4779736,1000
Autauga County,43751,49676,54571,1001
Baldwin County,140416,162183,182265,1003
Barbour County,29042,28027,27457,1005
Bibb County,19856,22042,22915,1007
Blount County,50982,54624,57322,1009
Bullock County,11603,11011,10914,1011
Butler County,21394,20830,20947,1013
Calhoun County,111882,114477,118572,1015
Chambers County,36600,35279,34215,1017
Cherokee County,23909,25031,25989,1019
Chilton County,39604,41946,43643,1021
Choctaw County,15953,14545,13859,1023
Clarke County,27870,26764,25833,1025
Clay County,14240,14077,13932,1027
Cleburne County,14141,14368,14972,1029
Coffee County,43639,45604,49948,1031
Colbert County,54979,54359,54428,1033
Conecuh County,14077,13421,13228,1035
Coosa County,11842,11467,11539,1037
Covington County,37640,37204,37765,1039
Crenshaw County,13657,13699,13906,1041
Cullman County,77426,78692,80406,1043
Dale County,49120,49050,50251,1045
Dallas County,46361,44434,43820,1047
DeKalb County,64436,67794,71109,1049
Elmore County,65819,72978,79303,1051
Escambia County,38452,37601,38319,1053
Etowah County,103448,103174,104430,1055
Fayette County,18522,18030,17241,1057
Franklin County,31257,30968,31704,1059
Geneva County,25700,25988,26790,1061
Greene County,9923,9675,9045,1063
Hale County,18270,16622,15760,1065
Henry County,16297,16752,17302,1067
Houston County,88831,93903,101547,1069
Jackson County,53871,53332,53227,1071
Jefferson County,662041,654919,658466,1073
Lamar County,15902,15009,14564,1075
Lauderdale County,87952,89358,92709,1077
Lawrence County,34834,34435,34339,1079
Lee County,115014,126133,140247,1081
Limestone County,65668,71303,82782,1083
Lowndes County,13483,12397,11299,1085
Macon County,24086,22388,21452,1087
Madison County,276998,301474,334811,1089
Marengo County,22533,21569,21027,1091
Marion County,31162,30494,30776,1093
Marshall County,82303,86516,93019,1095
Mobile County,399887,398942,412992,1097
Monroe County,24320,23683,23068,1099
Montgomery County,223518,223608,229363,1101
Morgan County,111076,113964,119490,1103
Perry County,11876,10881,10591,1105
Pickens County,20914,20192,19746,1107
Pike County,29688,30772,32899,1109
Randolph County,22344,22658,22913,1111
Russell County,49854,49731,52947,1113
St. Clair County,64740,72596,83593,1115
Shelby County,143429,171691,195085,1117
Sumter County,14772,14143,13763,1119
Talladega County,80734,81546,82291,1121
Tallapoosa County,41771,40857,41616,1123
Tuscaloosa County,164932,175731,194656,1125
Walker County,70688,68500,67023,1127
Washington County,18077,17690,17581,1129
Wilcox County,12995,12369,11670,1131
Winston County,24806,24629,24484,1133
Alaska,626933,666946,710231,2000
Aleutians East Borough,2697,2787,3141,2013
Aleutians West Census Area,5464,5913,5561,2016
Anchorage Municipality,260299,276494,291826,2020
Bethel Census Area,16046,16728,17013,2050
Bristol Bay Borough,1258,1171,997,2060
Denali Borough,1893,1834,1826,2068
Dillingham Census Area,4922,4841,4847,2070
Fairbanks North Star Borough,82849,90431,97581,2090
