"Name","Ticker","SEC CIK","Exchange","Exchange Country","Business Country","Country of Classification","Company Name","Company Id","SecId","CUSIP","ISIN","Industry","Market Cap (mil) 
(Daily) 
Base 
Currency","Earnings Yield (Daily)","P/E Ratio (TTM) (Long)","Price 52 Wk High 
Base 
Currency","Price 52 Wk Low 
Base 
Currency","Current Return %","Date: Inc Statement TTM","EPS TTM","Revenue (mil) 
TTM 
Inc Statement Currency","Net Income (mil) 
TTM 
Inc Statement Currency","Dividend per Share 
TTM 
Inc Statement Currency","Base 
Currency","Primary Share","Primary Share for Company","Sector","GICS Sub-Industry","GICS Industry","GICS Industry Group","GICS Sector","Russell Sector","Russell Sub-Sector","Russell Industry","ADR","MSCI Country","Equity 
Style Box (Long)","Stock Type","Security Type","Submarket","Sustainalytics ESG Risk Score 
2011-01","Sustainalytics ESG Risk Score 
2011-02","Sustainalytics ESG Risk Score 
2011-03","Sustainalytics ESG Risk Score 
2011-04","Sustainalytics ESG Risk Score 
2011-05","Sustainalytics ESG Risk Score 
2011-06","Sustainalytics ESG Risk Score 
2011-07","Sustainalytics ESG Risk Score 
2011-08","Sustainalytics ESG Risk Score 
2011-09","Sustainalytics ESG Risk Score 
2011-10","Sustainalytics ESG Risk Score 
2011-11","Sustainalytics ESG Risk Score 
2011-12","Sustainalytics ESG Risk Score 
2012-01","Sustainalytics ESG Risk Score 
2012-02","Sustainalytics ESG Risk Score 
2012-03","Sustainalytics ESG Risk Score 
2012-04","Sustainalytics ESG Risk Score 
2012-05","Sustainalytics ESG Risk Score 
2012-06","Sustainalytics ESG Risk Score 
2012-07","Sustainalytics ESG Risk Score 
2012-08","Sustainalytics ESG Risk Score 
2012-09","Sustainalytics ESG Risk Score 
2012-10","Sustainalytics ESG Risk Score 
2012-11","Sustainalytics ESG Risk Score 
2012-12","Sustainalytics ESG Risk Score 
2013-01","Sustainalytics ESG Risk Score 
2013-02","Sustainalytics ESG Risk Score 
2013-03","Sustainalytics ESG Risk Score 
2013-04","Sustainalytics ESG Risk Score 
2013-05","Sustainalytics ESG Risk Score 
2013-06","Sustainalytics ESG Risk Score 
2013-07","Sustainalytics ESG Risk Score 
2013-08","Sustainalytics ESG Risk Score 
2013-09","Sustainalytics ESG Risk Score 
2013-10","Sustainalytics ESG Risk Score 
2013-11","Sustainalytics ESG Risk Score 
2013-12","Sustainalytics ESG Risk Score 
2014-01","Sustainalytics ESG Risk Score 
2014-02","Sustainalytics ESG Risk Score 
2014-03","Sustainalytics ESG Risk Score 
2014-04","Sustainalytics ESG Risk Score 
2014-05","Sustainalytics ESG Risk Score 
2014-06","Sustainalytics ESG Risk Score 
2014-07","Sustainalytics ESG Risk Score 
2014-08","Sustainalytics ESG Risk Score 
2014-09","Sustainalytics ESG Risk Score 
2014-10","Sustainalytics ESG Risk Score 
2014-11","Sustainalytics ESG Risk Score 
2014-12","Sustainalytics ESG Risk Score 
2015-01","Sustainalytics ESG Risk Score 
2015-02","Sustainalytics ESG Risk Score 
2015-03","Sustainalytics ESG Risk Score 
2015-04","Sustainalytics ESG Risk Score 
2015-05","Sustainalytics ESG Risk Score 
2015-06","Sustainalytics ESG Risk Score 
2015-07","Sustainalytics ESG Risk Score 
2015-08","Sustainalytics ESG Risk Score 
2015-09","Sustainalytics ESG Risk Score 
2015-10","Sustainalytics ESG Risk Score 
2015-11","Sustainalytics ESG Risk Score 
2015-12","Sustainalytics ESG Risk Score 
2016-01","Sustainalytics ESG Risk Score 
2016-02","Sustainalytics ESG Risk Score 
2016-03","Sustainalytics ESG Risk Score 
2016-04","Sustainalytics ESG Risk Score 
2016-05","Sustainalytics ESG Risk Score 
2016-06","Sustainalytics ESG Risk Score 
2016-07","Sustainalytics ESG Risk Score 
2016-08","Sustainalytics ESG Risk Score 
2016-09","Sustainalytics ESG Risk Score 
2016-10","Sustainalytics ESG Risk Score 
2016-11","Sustainalytics ESG Risk Score 
2016-12","Sustainalytics ESG Risk Score 
2017-01","Sustainalytics ESG Risk Score 
2017-02","Sustainalytics ESG Risk Score 
2017-03","Sustainalytics ESG Risk Score 
2017-04","Sustainalytics ESG Risk Score 
2017-05","Sustainalytics ESG Risk Score 
2017-06","Sustainalytics ESG Risk Score 
2017-07","Sustainalytics ESG Risk Score 
2017-08","Sustainalytics ESG Risk Score 
2017-09","Sustainalytics ESG Risk Score 
2017-10","Sustainalytics ESG Risk Score 
2017-11","Sustainalytics ESG Risk Score 
2017-12","Sustainalytics ESG Risk Score 
2018-01","Sustainalytics ESG Risk Score 
2018-02","Sustainalytics ESG Risk Score 
2018-03","Sustainalytics ESG Risk Score 
2018-04","Sustainalytics ESG Risk Score 
2018-05","Sustainalytics ESG Risk Score 
2018-06","Sustainalytics ESG Risk Score 
2018-07","Sustainalytics ESG Risk Score 
2018-08","Sustainalytics ESG Risk Score 
2018-09","Sustainalytics ESG Risk Score 
2018-10","Sustainalytics ESG Risk Score 
2018-11","Sustainalytics ESG Risk Score 
2018-12","Sustainalytics ESG Risk Score 
2019-01","Sustainalytics ESG Risk Score 
2019-02","Sustainalytics ESG Risk Score 
2019-03","Sustainalytics ESG Risk Score 
2019-04","Sustainalytics ESG Risk Score 
2019-05","Sustainalytics ESG Risk Score 
2019-06","Sustainalytics ESG Risk Score 
2019-07","Sustainalytics ESG Risk Score 
2019-08","Sustainalytics ESG Risk Score 
2019-09","Sustainalytics ESG Risk Score 
2019-10","Sustainalytics ESG Risk Score 
2019-11","Sustainalytics ESG Risk Score 
2019-12","Sustainalytics ESG Risk Score 
2020-01","Sustainalytics ESG Risk Score 
2020-02","Sustainalytics ESG Risk Score 
2020-03","Sustainalytics ESG Risk Score 
2020-04","Sustainalytics ESG Risk Score 
2020-05","Sustainalytics ESG Risk Score 
2020-06","Sustainalytics ESG Risk Score 
2020-07","Sustainalytics ESG Risk Score 
2020-08","Sustainalytics ESG Risk Score 
2020-09","Sustainalytics ESG Risk Score 
2020-10","Sustainalytics ESG Risk Score 
2020-11","Sustainalytics ESG Risk Score 
2020-12","Sustainalytics ESG Risk Score 
2021-01","Sustainalytics ESG Risk Score 
2021-02","Sustainalytics ESG Risk Score 
2021-03","Sustainalytics ESG Risk Score 
2021-04","Sustainalytics ESG Risk Score 
2021-05","Sustainalytics ESG Risk Score 
2021-06","Sustainalytics ESG Risk Score 
2021-07","Sustainalytics ESG Risk Score 
2021-08","Sustainalytics ESG Risk Score 
2021-09","Sustainalytics ESG Risk Score 
2021-10","Sustainalytics ESG Risk Score 
2021-11","Sustainalytics ESG Risk Score 
2021-12","Sustainalytics ESG Risk Score 
2022-01","Sustainalytics ESG Risk Score 
2022-02","Sustainalytics ESG Risk Score 
2022-03","Sustainalytics ESG Risk Score 
2022-04","Sustainalytics ESG Risk Score 
2022-05","Sustainalytics ESG Risk Score 
2022-06","Sustainalytics ESG Risk Score 
2022-07"
"Ionis Pharmaceuticals Inc","IONS","874015","Nasdaq - All Markets","United States","United States","United States","Ionis Pharmaceuticals Inc","0C00000BLV","0P0000030Q","462222100","US4622221004","Biotechnology","6,481.58","0.00","","46.12","25.04","0.02","2022-03-31","-0.02","840.77","-3.89","","US Dollar","Yes","Yes","Healthcare","Biotechnology","Biotechnology","Pharmaceuticals and Biotechnology","Health Care","Healthcare","Pharmaceuticals & Biotech","Pharmaceuticals","No","United States","Small Value","Distressed","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.00","","44.00","44.00","43.00","43.00","43.00","43.00","43.00","43.00","","","43.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","43.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","42.00","35.65","35.78","32.04","32.04","32.04","32.04","32.04","32.04","31.42","31.42","29.61","29.61","29.61","29.64","29.64","29.64","29.64","29.64","29.64","29.64","29.64","29.79","29.79","29.79","29.79","29.79","29.79","29.79","29.79","29.79","29.79","29.45","29.45","29.45","29.45"
"Iovance Biotherapeutics Inc","IOVA","1425205","Nasdaq - All Markets","United States","United States","United States","Iovance Biotherapeutics Inc","0C000014I4","0P0000KXRO","462260100","US4622601007","Biotechnology","1,942.53","-0.20","","27.96","6.18","1.07","2022-06-30","-2.40","0.00","-376.41","","US Dollar","Yes","Yes","Healthcare","Biotechnology","Biotechnology","Pharmaceuticals and Biotechnology","Health Care","Healthcare","Pharmaceuticals & Biotech","Biotechnology","No","United States","Small Blend","Distressed","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.00","","","39.00","","","","","","39.00","39.00","39.00","38.00","38.00","38.00","38.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","39.00","40.00","40.00","40.00","40.00","40.00","40.00","40.00","40.00","40.00","31.08","31.08","30.50","30.50","30.50","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","33.71","32.96","32.96","32.96","32.96","32.96","32.61","32.61","32.61","32.61"
"IPG Photonics Corp","IPGP","1111928","Nasdaq - All Markets","United States","United States","United States","IPG Photonics Corp","0C00000MHB","0P00006YLC","44980X109","US44980X1090","Semiconductor Equipment & Materials","5,129.24","0.05","20.46","182.34","82.68","0.31","2022-06-30","5.02","1,490.62","267.03","","US Dollar","Yes","Yes","Technology","Electronic Manufacturing Services","Electronic Equipment, Instruments and Components","Technology Hardware and Equipment","Information Technology","Technology","Electronics","Production technology equipment","No","United States","Small Blend","Cyclical","Common Stock","","","","","","","","","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","50.00","","","","","","","","","","","","","","","","","","49.00","","","","","","","","","","","","","","","","","48.00","48.00","48.00","","","","48.00","","","48.00","48.00","48.00","","48.00","48.00","","","","","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","46.00","46.00","46.00","46.00","46.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","12.28","12.25","13.63","13.63","13.63","13.63","13.63","13.63","13.63","13.63","13.63","13.63","13.46","13.49","13.49","13.49","13.49","13.49","13.49","13.75","12.17","12.17","11.93","11.93","11.93","11.93","11.93","11.93","11.93","11.93","11.93","11.93","11.93","11.93","11.93"
"iQIYI Inc ADR","IQ","1722608","Nasdaq - All Markets","United States","China","China","iQIYI Inc","0C0000BEL0","0P0001CXKA","46267X108","US46267X1081","Entertainment","3,376.20","-0.22","","11.22","1.86","0.26","2022-03-31","-5.95","29,863.00","-4,733.48","","US Dollar","Yes","No","Communication Services","Movies & Entertainment","Entertainment","Media & Entertainment","Communication Services","Technology","Information Technology","Computer services software and systems","Yes","China","","","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.00","44.00","44.00","44.00","28.90","28.90","28.69","28.69","28.69","28.69","28.69","28.69","28.81","28.81","28.81","29.13","29.55","29.55","29.55","29.55","29.55","29.55","30.31","30.31","30.31","30.31","30.31","30.31","30.37","30.37","30.51","30.51","30.51","30.51","30.51","29.76","29.76","29.76","29.76"
"iRadimed Corp","IRMD","1325618","Nasdaq - All Markets","United States","United States","","iRadimed Corp","0C0000AOO4","0P00013MJJ","46266A109","US46266A1097","Medical Devices","453.60","0.03","44.01","55.92","28.90","-3.78","2022-06-30","0.96","47.81","12.20","","US Dollar","Yes","Yes","Healthcare","Health Care Equipment","Health Care Equipment and Supplies","Health Care Equipment and Services","Health Care","Healthcare","Medical Equipment And Services","Medical equipment","No","United States","Small Growth","Aggressive Growth","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.00","","","48.00","","","","","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","49.00","49.00","49.00","49.00","","","","","","","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","37.22","37.22","36.77","37.74","37.74","37.74","37.74","37.74","37.74","37.74","36.55","36.55","36.55","36.55","36.55","36.55","36.55","36.55","35.61","35.61","35.61","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","31.74"
"iRhythm Technologies Inc","IRTC","1388658","Nasdaq - All Markets","United States","United States","United States","iRhythm Technologies Inc","0C0000B5QC","0P00018UZ7","450056106","US4500561067","Medical Devices","4,492.57","-0.03","","169.54","41.66","-0.03","2022-06-30","-4.43","361.67","-130.73","","US Dollar","Yes","Yes","Healthcare","Health Care Equipment","Health Care Equipment and Supplies","Health Care Equipment and Services","Health Care","Healthcare","Medical Equipment And Services","Medical equipment","No","United States","Small Growth","Speculative Growth","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.00","49.00","49.00","49.00","49.00","","49.00","49.00","49.00","","49.00","49.00","49.00","49.00","49.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","44.25","44.25","44.07","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","44.81","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","39.93","32.24","32.24"
"Iridium Communications Inc","IRDM","1418819","Nasdaq - All Markets","United States","United States","United States","Iridium Communications Inc","0C00001843","0P0000D6I1","46269C102","US46269C1027","Telecom Services","5,749.38","0.00","","48.95","31.73","-0.42","2022-06-30","0.00","661.18","-0.59","","US Dollar","Yes","Yes","Communication Services","Alternative Carriers","Diversified Telecommunication Services","Telecommunication Services","Communication Services","Utilities","Utilities","Utilities: Telecommunications","No","United States","Small Growth","Classic Growth","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.00","","","46.00","","","","","46.00","46.00","46.00","46.00","46.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","49.00","49.00","49.00","49.00","49.00","49.00","26.74","26.74","27.25","26.63","26.63","26.63","26.63","26.63","26.63","28.08","28.08","28.08","28.08","28.08","28.08","27.95","27.95","27.95","29.37","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","28.72","27.77"
"iRobot Corp","IRBT","1159167","Nasdaq - All Markets","United States","United States","United States","iRobot Corp","0C00000BLO","0P0000063I","462726100","US4627261005","Furnishings, Fixtures & Appliances","1,623.43","-0.03","","98.86","35.41","0.13","2022-03-31","-0.30","1,553.70","-7.46","","US Dollar","Yes","Yes","Consumer Cyclical","Household Appliances","Household Durables","Consumer Durables and Apparel","Consumer Discretionary","Technology","Electronics","Electronics","No","United States","Small Value","Cyclical","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.00","","","45.00","","","","45.00","45.00","45.00","45.00","45.00","45.00","47.00","47.00","47.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","44.00","44.00","44.00","44.00","44.00","44.00","44.00","44.00","44.00","26.08","27.45","27.22","26.17","","26.17","26.47","26.47","26.47","26.47","26.47","26.47","26.47","26.47","26.47","23.27","23.27","24.32","24.32","24.32","24.32","24.32","24.32","24.32","24.32","24.32","24.32","24.32","21.79","21.79","21.79","22.08","22.08","22.08","22.08"
"Ironwood Pharmaceuticals Inc Class A","IRWD","1446847","Nasdaq - All Markets","United States","United States","United States","Ironwood Pharmaceuticals Inc","0C00004ACN","0P0000N6EA","46333X108","US46333X1081","Drug Manufacturers - Specialty & Generic","1,792.80","0.08","3.61","14.27","10.13","-1.43","2022-06-30","0.99","415.64","173.10","","US Dollar","Yes","Yes","Healthcare","Biotechnology","Biotechnology","Pharmaceuticals and Biotechnology","Health Care","Healthcare","Pharmaceuticals & Biotech","Pharmaceuticals","No","United States","Small Value","Classic Growth","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.00","","","45.00","","","","","","45.00","45.00","45.00","45.00","45.00","45.00","45.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","47.00","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","34.96","30.23","30.23","30.23","30.23","30.23","30.23","30.23","30.23","30.23","30.23","30.23","30.23","30.23","28.87","28.87","28.87","28.87","28.87","28.87","28.87","28.87","28.87","28.87","28.87","28.87"
"IsoPlexis Corp","ISO","1615055","Nasdaq - All Markets","United States","United States","","IsoPlexis Corp","0C0000C90U","0P0001NHFJ","465005106","US4650051067","Medical Devices","140.29","-0.73","","16.95","1.62","3.16","2022-03-31","-2.61","18.94","-94.74","","US Dollar","Yes","Yes","Healthcare","Life Sciences Tools and Services","Life Sciences Tools and Services","Pharmaceuticals and Biotechnology","Health Care","","","","No","United States","Small Growth","Distressed","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.45"
